User_cpu_0	User_cpu_1	User_cpu_2	User_cpu_3	User_cpu_4	User_cpu_5
200060	200052	200056	200056	200052	200052
200056	200056	200056	200060	200048	200056
200056	200056	200060	200056	200060	200056
200060	200056	200056	200056	200052	200056
200060	200052	200060	200060	200052	200052
200056	200060	200060	200060	200052	200056
200060	200052	200056	200056	200052	200064
200056	200052	200056	200060	200052	200056
200056	200060	200060	200056	200048	200056
200060	200052	200056	200056	200052	200052
200060	200056	200060	200060	200060	200056
200056	200056	200060	200060	200052	200056
200060	200052	200056	200056	200052	200056
200056	206192	200056	200060	200052	200052
200056	200056	200060	200056	200052	200064
200060	200052	200056	200056	200052	200056
200060	200056	200060	200060	200048	200056
200056	200056	200060	200060	200052	200056
200060	200056	200056	200056	200060	200052
200056	200052	200056	200060	200052	200056
200056	200056	200060	200056	200048	200056
200060	200056	200056	200056	200052	200056
200060	200064	200060	200060	200052	200060
200056	200056	200060	200060	200052	200056
200060	200052	200056	200056	200052	200056
200056	200056	200056	200060	200056	200056
200056	200056	200060	200056	200056	200056
200060	200056	200056	200056	200056	200052
200060	200052	200060	200060	200056	200056
200056	200056	200060	200060	200056	200056
200060	200056	200056	200056	200052	200064
200056	200052	200056	200060	200056	200056
200056	200056	200060	200056	200056	200052
200060	200056	200056	200056	205688	200056
200060	200052	200060	200060	200060	200056
200056	200056	200060	200060	200056	200056
200060	200056	200056	200056	200056	200052
200056	200056	200056	200060	200056	200056
200056	200052	200060	200056	200052	200064
205152	200056	200056	200056	200056	200056
200056	200056	200060	200060	200056	200056
200060	200056	200060	200060	200056	200052
200056	200052	200056	200056	200052	200056
200060	200056	200056	200060	200056	200056
200056	200056	200060	200056	200056	200056
200056	200056	200056	200056	200056	200052
200060	200052	200060	200060	200052	200064
200060	200056	200060	200060	200056	200056
200056	200056	200056	200056	200056	200056
200060	200056	200056	200060	200056	200056
200056	200052	200060	200056	200060	200052
200060	200056	200056	200056	200056	200056
200060	200056	200060	200060	200052	200056
200056	200056	200060	200060	200056	200056
200056	200052	200056	200056	200056	200060
200060	200056	200056	200060	200056	200056
200056	200056	200060	200056	200052	200056
200060	200056	200056	200056	200056	200056
200060	200052	200060	200060	200056	200056
200056	200056	200060	200060	200056	200052
200056	200056	200056	200056	200052	200056
200060	200056	205864	200060	200056	200056
200056	200064	200056	200056	200056	200064
200060	200056	200060	200056	200056	200056
200060	200056	200056	200060	200052	200052
200056	200052	200060	200060	200056	200056
200056	200056	200056	200056	200064	200056
200060	200056	200056	200060	200056	200056
200056	200056	200060	200056	200056	200052
200060	200052	200060	220940	200052	200056
200060	200056	200056	200052	200056	200064
200056	200056	200060	200056	200056	200056
200056	200056	200056	200052	200056	200056
200060	200052	200056	200056	200052	200052
200056	200056	200060	200056	200056	200056
200060	200056	200060	200056	200056	200056
200060	200056	200056	200052	200056	200056
200056	200052	200060	200056	200052	200052
200056	200068	200056	200056	200056	200056
200060	200052	200056	200056	200056	200056
200056	200056	200060	200052	200056	200056
200060	200056	200060	200060	200052	200052
200060	200052	200056	200052	200064	200056
200056	200056	200060	200056	200056	200056
200056	200056	200056	200056	200056	200056
200060	200056	200056	200052	200056	200052
200056	200052	200060	200056	200052	200064
200060	200056	200060	200056	200056	200056
200060	200056	200056	200056	200056	200056
200056	200056	200060	200052	200056	205820
200056	200052	200056	200060	200052	200056
200060	200056	200056	200052	200056	200056
200056	200056	200060	200052	200056	200056
200060	200056	200060	200060	200056	200052
200060	200064	200056	200052	200052	200056
200056	200052	200060	200056	200056	200056
200056	200056	200056	200056	200056	200056
200060	200056	200056	200052	200056	200052
200056	200056	200060	200056	200052	200056
200060	200052	200060	200056	200056	200056
200060	200056	200056	200056	200056	200056
200056	200056	200060	200052	200056	200052
200056	200056	200056	200060	200052	200064
200060	200052	200056	200052	200056	200052
200056	200056	200060	200052	200056	200056
200060	200056	200060	200060	200056	200056
200060	200056	200056	200052	200052	200056
200056	200052	200060	200056	200056	200052
200056	200056	200056	200056	200056	200056
200060	200056	200056	200052	200056	200056
200056	200056	200060	200056	200052	200056
200060	200052	200060	200056	200056	200052
200060	200056	200056	200056	200056	200056
200056	200056	200060	200052	200056	200056
200056	200056	200056	200060	200068	200056
200060	200052	200056	200052	200056	200052
200056	200056	200060	200052	200052	200056
200060	200056	200060	200060	200056	200056
200060	200056	200056	200052	200056	200064
200056	200052	200060	200056	200056	200056
200056	200056	200056	200056	200052	200052
200060	200056	200056	200052	200056	200056
200056	200056	200060	200056	200056	200056
200060	200052	200060	200056	200056	200056
200060	200056	200056	200056	200052	200052
200056	200056	200060	200052	200056	200056
200056	200056	200056	200060	200056	200056
200060	200052	200056	200052	200056	200056
200056	200056	200060	200052	200052	200052
200060	200056	200060	200060	200056	200056
200060	200056	200056	200052	200056	200056
200056	200052	200060	200056	200056	200056
200056	206460	200056	200056	200052	200052
200060	200052	200056	200052	200056	200056
200056	200056	200060	200056	200056	200056
200060	200056	200060	200056	200056	200056
200060	200056	200056	200056	200052	200052
200056	200052	200060	200052	200056	200056
200056	200060	200056	200060	200056	200056
200060	200052	200056	200052	200056	200056
200056	200052	200060	200052	200052	200052
200060	200060	200060	200060	200056	200056
200060	200052	200056	200052	200056	200056
200056	200056	200060	200056	200056	200056
200056	200056	200056	200056	200052	200052
200060	200052	200056	200052	200056	200056
200056	200056	200060	200056	200056	200056
200060	200056	200060	200056	200056	200056
200060	200056	200056	200056	200052	200052
200056	200052	200060	200052	200056	200056
200056	200060	200056	200060	200056	200056
200060	200052	200056	200052	200056	200056
200056	200052	200060	200052	200052	200052
200060	200060	200060	200060	205744	200056
200060	200052	200056	200052	200052	200056
200056	200056	200060	200056	200056	200056
200056	200056	200056	200056	200056	200052
200060	200052	200056	200052	200056	200056
205860	200056	200060	200056	200052	200056
200056	200056	200060	200056	200056	200056
200060	200056	200056	200056	200056	200052
200060	200052	200060	200052	200056	200056
200056	200060	200056	200060	200052	200056
200056	200052	200056	200052	200056	200056
200060	200052	200060	200052	200056	200052
200056	200060	200060	200060	200056	200056
200060	200052	200056	200052	200052	200056
200060	200056	200060	200056	200056	200056
200056	200056	200056	200056	200056	200052
200056	200052	200056	200052	200056	200056
200060	200056	200060	200056	200052	200056
200056	200056	200060	200056	200056	200056
200060	200056	200056	200056	200056	200052
200060	200052	200060	200052	200056	200056
200056	200060	200056	200060	200052	200056
200056	200052	200056	200052	200056	200056
200060	200052	200060	200052	200056	200052
200056	200060	200060	200060	200056	200056
200060	200052	200056	200052	200052	200056
200060	200056	200060	200056	200056	200056
200056	200056	205808	200056	200056	200052
200056	200052	200056	200052	200056	200056
200060	200056	200060	200056	200052	200056
200056	200056	200056	200056	200056	200056
200060	200056	200060	200056	200056	200052
200060	200052	200060	200052	200056	200056
200056	200060	200056	200060	200052	200056
200056	200052	200056	200052	200056	200056
200060	200052	200060	205996	200056	200052
200056	200060	200056	200052	200056	200056
200060	200052	200060	200056	200052	200056
200060	200056	200060	200056	200056	200056
200056	200056	200056	200056	200056	200052
200056	200052	200056	200052	200056	200056
200060	200056	200060	200060	200052	200056
200056	200056	200056	200052	200056	200056
200060	200056	200060	200052	200056	200052
200060	200052	200060	200060	200056	200056
200056	200060	200056	200052	200052	200056
200056	200052	200056	200056	200056	200056
200060	200052	200060	200056	200056	200052
200056	200060	200056	200052	200056	200056
200060	200052	200060	200056	200052	200056
200060	200056	200060	200056	200056	200056
200056	200056	200056	200056	200056	200052
200056	200052	200056	200052	200056	200056
200060	200056	200060	200060	200052	200056
200056	200056	200056	200052	200056	200056
200060	200056	200060	200052	200056	205716
200060	200052	200060	200060	200056	200056
200056	200060	200056	200052	200052	200056
200056	200052	200056	200056	200056	200056
200060	200052	200060	200056	200056	200052
200056	200060	200056	200052	200056	200056
200060	200052	200060	200056	200052	200056
200060	200056	200060	200056	200056	200056
200056	200056	200056	200056	200056	200052
200056	200052	200056	200052	200056	200056
200060	200056	200060	200060	200052	200056
200056	200056	200056	200052	200056	200056
200060	200056	200060	200052	200056	200052
200060	200052	200060	200060	200056	200056
200056	200060	200056	200052	200052	200056
200056	200052	200056	200056	200056	200056
200060	200052	200060	200056	200056	200052
200056	200060	200056	200052	200056	200056
200060	200052	200060	200056	200052	200056
200060	200056	200060	200056	200056	200056
200056	200056	200056	200056	200056	200052
200056	200052	200056	200052	200056	200056
200060	200056	200060	200060	200052	200056
200056	200056	200056	200052	200056	200056
200060	200056	200060	200052	200056	200052
200060	200052	200060	200060	200056	200056
200056	200060	200056	200052	200052	200056
200056	200052	200056	200056	200056	200056
200060	200052	200060	200056	200056	200052
200056	200060	200056	200052	200056	200056
200060	200052	200060	200056	200052	200056
200060	200056	200060	200056	200056	200056
200056	200056	200056	200056	200056	200052
200056	200052	200056	200052	200056	200056
200060	200056	200060	200060	200052	200056
200056	200056	200056	200052	200056	200056
200060	200056	200060	200052	200056	200052
200060	200052	200060	200060	200056	200056
200056	200060	200056	200052	200052	200056
200056	200052	200056	200056	200056	200056
200060	200052	200060	200056	200056	200052
200056	200060	200056	200052	200056	200056
200060	200052	200060	200056	200052	200056
200060	200056	200060	200056	200056	200056
200056	206176	200056	200056	200056	200052
200056	200052	200056	200052	200056	200056
200060	200056	200060	200060	200052	200056
200056	200056	200056	200052	200056	200056
200060	200056	200060	200052	200056	200052
200060	200052	200060	200060	200056	200056
200056	200060	200056	200052	200052	200056
200056	200052	200056	200056	200056	200056
200060	200052	200060	200056	200056	200052
200056	200060	200056	200052	200056	200056
200060	200052	200060	200056	200052	200056
200060	200056	200060	200056	200056	200056
200056	200056	200056	200056	200056	200052
200056	200052	200056	200052	200056	200056
200060	200056	200060	200060	200052	200056
200056	200056	200056	200052	200056	200056
200060	200056	200060	200052	200056	200052
200060	200052	200060	200060	200056	200056
200056	200060	200056	200052	200052	200056
200056	200052	200056	200056	200056	200056
200060	200052	200060	200056	200056	200052
200056	200060	200056	200052	205768	200056
200060	200052	200060	200056	200056	200056
200060	200056	200060	200056	200056	200056
200056	200056	200056	200056	200056	200052
200056	200052	200056	200052	200052	200056
205796	200056	200060	200060	200056	200056
200056	200056	200056	200052	200056	200056
200060	200056	200060	200052	200056	200052
200056	200052	200060	200060	200052	200056
200060	200060	200056	200052	200056	200056
200060	200052	200056	200056	200056	200056
200056	200052	200060	200056	200056	200052
200056	200060	200056	200052	200052	200056
200060	200052	200060	200056	200056	200056
200056	200056	200060	200056	200056	200056
200060	200056	200056	200056	200056	200052
200060	200052	200056	200052	200052	200056
200056	200056	200060	200060	200056	200056
200056	200056	200056	200052	200056	200056
200060	200056	200060	200052	200056	200052
200056	200052	200060	200060	200052	200056
200060	200060	200056	200052	200056	200056
200060	200052	200056	200056	200056	200056
200056	200052	200060	200056	200056	200052
200056	200060	200056	200052	200052	200056
200060	200052	200060	200056	200056	200056
200056	200056	200060	200056	200056	200056
200060	200056	205844	200056	200056	200052
200060	200052	200060	200052	200052	200056
200056	200056	200056	200060	200056	200056
200056	200056	200060	200052	200056	200056
200060	200056	200060	200052	200056	200052
200056	200052	200056	200060	200052	200056
200060	200060	200056	200052	200056	200056
200060	200052	200060	200056	200056	200056
200056	200052	200056	205900	200056	200052
200056	200060	200060	200056	200052	200056
200060	200052	200060	200052	200056	200056
200056	200056	200056	200056	200056	200056
200060	200056	200056	200056	200056	200052
200060	200052	200060	200056	200052	200056
200056	200056	200056	200052	200056	200056
200056	200056	200060	200056	200056	200056
200060	200056	200060	200056	200056	200052
200056	200052	200056	200056	200052	200056
200060	200060	200056	200052	200056	200056
200060	200052	200060	200056	200056	200056
200056	200052	200056	200056	200056	200052
200056	200060	200060	200056	200052	200056
200060	200052	200060	200052	200056	200056
200056	200056	200056	200056	200056	200056
200060	200056	200056	200056	200056	200052
200060	200052	200060	200056	200052	200056
200056	200056	200056	200052	200056	200056
200056	200056	200060	200056	200056	200056
200060	200056	200060	200056	200056	205716
200056	200052	200056	200056	200052	200056
200060	200060	200056	200052	200056	200056
200060	200052	200060	200056	200056	200052
200056	200052	200056	200056	200056	200056
200056	200060	200060	200056	200052	200056
200060	200052	200060	200052	200056	200056
200056	200056	200056	200056	200056	200056
200060	200056	200056	200056	200056	200056
200060	200052	200060	200056	200052	200052
200056	200056	200056	200052	200056	200056
200056	200056	200060	200056	200056	200056
200060	200056	200060	200056	200056	200056
200056	200052	200056	200056	200052	200052
200060	200060	200056	200052	200056	200064
200060	200052	200060	200056	200056	200056
200056	200052	200056	200056	200056	200056
200056	200060	200060	200056	200052	200056
200060	200052	200060	200052	200060	200052
200056	200056	200056	200056	200056	200056
200060	200056	200056	200056	200056	200056
200060	200052	200060	200056	200052	200056
200056	200056	200056	200052	200056	200060
200056	200056	200060	200056	200056	200056
200060	200056	200060	200056	200056	200056
200056	200052	200056	200056	200052	200056
200060	200060	200056	200052	200064	200056
200060	200052	200060	200056	200056	200052
200056	200052	200056	200056	200056	200056
200056	200060	200060	200056	200056	200056
200060	200052	200060	200052	200052	200064
200056	200056	200056	200056	200056	200056
200060	200056	200056	200056	200056	200052
200060	200052	200060	200056	200056	200056
200056	200056	200056	200052	200060	200056
200056	200056	200060	200056	200056	200056
200060	200056	200060	200056	200056	200052
200056	200052	200056	200056	200056	200056
200060	200060	200056	200052	200056	200064
200060	200052	200060	200056	200052	200056
200056	200052	200056	200056	200056	200056
200056	200060	200060	200056	200056	200052
200060	200052	200060	200052	200064	200056
200056	206180	200056	200056	200056	200056
200060	200056	200056	200056	200052	200056
200060	200056	200060	200056	200056	200052
200056	200056	200056	200052	200056	200064
200056	200052	200060	200056	200056	200056
200060	200056	200060	200056	200052	200056
200056	200056	200056	200056	200056	200056
200060	200056	200056	200052	200064	200052
200060	200052	200060	200056	200056	200056
200056	200056	200056	200056	200056	200056
200056	200056	200060	200056	200052	200056
200060	200056	200060	200052	200056	200060
200056	200052	200056	200056	200056	200056
200060	200056	200056	200056	200056	200056
200060	200056	200060	200056	200052	200056
200056	200056	200056	200052	200064	200056
200056	200052	200060	200056	200056	200052
200060	200056	200060	200056	200056	200056
200056	200056	200056	200056	200056	200056
200060	200056	200056	200052	200052	200056
200060	200052	200060	200056	200056	200052
200056	200056	200056	200056	205728	200056
200056	200056	200060	200056	200056	200056
200060	200056	200060	200052	200064	200056
200056	200052	200056	200056	200052	200052
200060	200056	200056	200056	200056	200056
200060	200056	200060	200056	200056	200056
205828	200056	200056	200052	200056	200064
200060	200052	200060	200056	200052	200056
200056	200056	200060	200056	200056	200052
200056	200056	200056	200056	200056	200056
200060	200056	200056	200052	200064	200056
